Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Mismagius (Violet),Ghost,Ghost,,0,0,0,3
Swalot (Violet),Poison,Poison,,30,30,30,30
Drakloak (Violet),Dragon,Ghost,,30,30,30,30
Clawitzer (Violet),Water,Water,,20,20,20,20
Glalie,Ice,Ice,,20,20,20,20
Bronzong,Steel,Psychic,,40,40,40,40
Glaceon,Ice,Ice,,1,1,1,1
Froslass,Ice,Ice,,2,2,2,2
Beartic,Ice,Ice,,20,20,20,20
Frosmoth,Ice,Bug,,10,10,10,10
Houndstone,Ghost,Ghost,,15,15,15,15
Cetitan,Ice,Ice,,10,10,10,10
Golduck,Water,Water,,40,40,40,40
Slowpoke,Water,Psychic,,120,120,120,120
Slowbro,Water,Psychic,,55,55,55,55
Scyther,Bug,Flying,,30,30,30,30
Gyarados,Water,Flying,,155,155,155,155
Vaporeon,Water,Water,,2,2,2,2
Dratini,Dragon,Dragon,,40,40,40,40
Dragonair,Dragon,Dragon,,10,10,10,10
Azumarill,Water,Water,,60,60,60,60
Altaria,Dragon,Flying,,20,20,20,20
Tropius,Grass,Flying,,30,30,30,30
Staraptor,Normal,Flying,,10,10,10,0
Skuntank (Scarlet),Poison,Dark,,30,30,30,30
Toxicroak,Poison,Fighting,,50,50,50,50
Sliggoo,Dragon,Dragon,,50,50,50,50
Bergmite,Ice,Ice,,150,150,150,150
Avalugg,Ice,Ice,,100,100,100,100
Drednaw,Water,Rock,,20,20,20,20
Flamigo,Flying,Fighting,,60,60,60,60
Veluza,Water,Psychic,,50,50,50,50
Dondozo,Water,Water,,30,30,30,30
Tatsugiri,Dragon,Water,,60,60,60,60
Floatzel,Water,Water,,60,60,60,60
Bellibolt,Electric,Electric,,5,5,5,5
Cloyster,Water,Ice,,10,10,10,10
Skrelp (Scarlet),Poison,Water,,60,60,60,60
Dragalge (Scarlet),Poison,Water,,20,20,20,20
Kilowattrel,Electric,Flying,,60,60,60,60
Honchkrow,Dark,Flying,,0,0,20,20
Gogoat,Grass,Grass,,30,30,30,30
Hawlucha,Fighting,Flying,,60,60,60,60
Copperajah,Steel,Steel,,20,20,20,20
Lokix,Bug,Dark,,30,30,30,30
Naclstack,Rock,Rock,,80,80,80,80
Gastrodon,Water,Ground,,20,20,20,20
Palossand,Ghost,Ground,,20,20,20,20
Pincurchin,Electric,Electric,,10,10,10,10
Wugtrio,Water,Water,,20,20,20,20
Mabosstiff,Dark,Dark,,30,30,30,30
