Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Clauncher (Violet),Water,Water,,60,60,60,60
Shellder,Water,Water,,60,60,60,60
Cloyster,Water,Ice,,10,10,10,10
Magikarp,Water,Water,,60,60,60,60
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Luvdisc,Water,Water,,60,60,60,60
Buizel,Water,Water,,40,40,40,40
Floatzel,Water,Water,,40,40,40,40
Skrelp (Scarlet),Poison,Water,,60,60,60,60
Mareanie,Poison,Water,,140,140,140,140
Bruxish,Water,Psychic,,30,30,30,30
Arrokuda,Water,Water,,60,60,60,60
Barraskewda,Water,Water,,20,20,20,20
Finizen,Water,Water,,30,30,30,30
Wattrel,Electric,Flying,,120,120,120,120
Kilowattrel,Electric,Flying,,30,30,30,30
Crabrawler,Fighting,Fighting,,30,30,30,30
Pincurchin,Electric,Electric,,10,10,10,10
Wiglett,Water,Water,,60,60,60,60
Wugtrio,Water,Water,,20,20,20,20
Nacli,Rock,Rock,,15,15,15,15
Chansey,Normal,Normal,,1,1,1,1
Sunflora,Grass,Grass,,30,30,30,0
Combee,Bug,Flying,,40,40,40,40
Vivillon,Bug,Flying,,30,30,30,30
Flabebe,Fairy,Fairy,,246,246,246,246
Floette,Fairy,Fairy,,223,223,223,223
Dolliv,Grass,Normal,,10,10,10,10
