Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Tauros (Combat Breed),Fighting,Fighting,,40,40,40,40
Skiploom,Grass,Flying,,40,40,40,40
Murkrow,Dark,Flying,,0,0,120,120
Misdreavus (Violet),Ghost,Ghost,,0,0,0,15
Dunsparce,Normal,Normal,,6,6,6,6
Dreepy (Violet),Dragon,Ghost,,5,5,5,5
Deerling,Normal,Grass,,70,70,70,70
Clauncher (Violet),Water,Water,,60,60,60,60
Litleo,Fire,Normal,,140,140,140,140
Steenee,Grass,Grass,,40,40,40,40
Rookidee,Flying,Flying,,120,120,120,120
Gulpin (Violet),Poison,Poison,,80,80,80,80
Corvisquire,Flying,Flying,,110,110,110,110
Lechonk,Normal,Normal,,140,140,140,140
Oinkologne (Male),Normal,Normal,,40,40,40,40
Oinkologne (Female),Normal,Normal,,40,40,40,40
Pawmo,Electric,Fighting,,25,25,25,25
Toedscool,Ground,Grass,,12,12,12,12
Pikachu,Electric,Electric,,10,10,10,10
Venonat,Bug,Poison,,40,40,40,40
Pineco,Bug,Bug,,60,60,60,60
Teddiursa,Normal,Normal,,60,60,60,60
Bounsweet,Grass,Grass,,60,60,60,60
Komala,Normal,Normal,,30,30,30,30
Applin,Grass,Dragon,,10,10,10,10
Spidops,Bug,Bug,,30,30,30,30
Shroodle,Poison,Normal,,20,20,20,20
Charcadet,Fire,Fire,,3,3,3,3
Shuppet,Ghost,Ghost,,0,0,0,70
Drifloon (Scarlet),Ghost,Flying,,0,0,70,70
Oricorio (Baile Style),Fire,Flying,,40,40,40,40
Tandemaus,Normal,Normal,,10,10,10,10
Squawkabilly,Normal,Flying,,50,50,50,50
Gastly,Ghost,Poison,,0,0,0,50
Swablu,Normal,Flying,,70,70,70,70
Rufflet,Normal,Flying,,25,25,25,25
Skiddo,Grass,Grass,,80,80,80,80
Rockruff (Standard),Rock,Rock,,40,40,40,40
Rockruff (Own Tempo),Rock,Rock,,2,2,2,2
Mudbray,Ground,Ground,,60,60,60,60
Flittle,Psychic,Psychic,,60,60,60,60
Psyduck,Water,Water,,60,60,60,60
Slowpoke,Water,Psychic,,60,60,60,60
Magikarp,Water,Water,,80,80,80,80
Marill,Water,Fairy,,60,60,60,60
Buizel,Water,Water,,60,60,60,60
Basculin (Red-Striped),Water,Water,,60,60,60,60
Basculin (Blue-Striped),Water,Water,,60,60,60,60
Chewtle,Water,Water,,10,10,10,10
Drednaw,Water,Rock,,10,10,10,10
Arrokuda,Water,Water,,100,100,100,100
Tadbulb,Electric,Electric,,50,50,50,50
Shellder,Water,Water,,120,120,120,120
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Luvdisc,Water,Water,,60,60,60,60
Mareanie,Poison,Water,,140,140,140,140
Finizen,Water,Water,,30,30,30,30
Wattrel,Electric,Flying,,120,120,120,120
Makuhita,Fighting,Fighting,,30,30,30,30
Yungoos,Normal,Normal,,20,20,20,20
Gumshoos,Normal,Normal,,30,30,30,30
Nacli,Rock,Rock,,75,75,75,75
Shellos,Water,Ground,,60,60,60,60
Crabrawler,Fighting,Fighting,,30,30,30,30
Sandygast,Ghost,Ground,,60,60,60,60
Pincurchin,Electric,Electric,,10,10,10,10
Wiglett,Water,Water,,60,60,60,60
