Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Raichu,Electric,Electric,,20,20,20,20
Venomoth,Bug,Poison,,60,60,60,60
Chansey,Normal,Normal,,6,6,6,6
Jumpluff,Grass,Flying,,30,30,30,30
Espeon,Psychic,Psychic,,6,6,6,0
Girafarig,Normal,Psychic,,60,60,60,60
Medicham,Fighting,Psychic,,20,20,20,20
Braviary,Normal,Flying,,60,60,60,60
Floette,Fairy,Fairy,,30,30,30,30
Corviknight,Flying,Steel,,40,40,40,40
Frosmoth,Ice,Bug,,5,5,5,5
Pawmo,Electric,Fighting,,60,60,60,60
Farigiraf,Normal,Psychic,,20,20,20,20
Scream Tail (Scarlet),Fairy,Psychic,,80,80,80,80
Slither Wing (Scarlet),Bug,Fighting,,15,15,15,15
Golduck,Water,Water,,80,80,80,80
Vaporeon,Water,Water,,4,4,4,4
Altaria,Dragon,Flying,,60,60,60,60
Floatzel,Water,Water,,40,40,40,40
Flamigo,Flying,Fighting,,40,40,40,40
Donphan,Ground,Ground,,60,60,60,60
Honchkrow,Dark,Flying,,0,0,40,40
Talonflame,Fire,Flying,,60,60,60,60
Gogoat,Grass,Grass,,60,60,60,60
Hawlucha,Fighting,Flying,,120,120,120,120
Lycanroc (Midday),Rock,Rock,,40,40,40,40
Copperajah,Steel,Steel,,20,20,20,20
Lokix,Bug,Dark,,60,60,60,60
Naclstack,Rock,Rock,,120,120,120,120
Garganacl,Rock,Rock,,40,40,40,40
Sandy Shocks (Scarlet),Electric,Ground,,30,30,30,30
Dugtrio,Ground,Ground,,95,95,95,95
Umbreon,Dark,Dark,,0,0,0,4
Sneasel,Dark,Ice,,200,200,200,200
Sableye,Dark,Ghost,,80,80,80,80
Gabite,Dragon,Ground,,70,70,70,70
Weavile,Dark,Ice,,12,12,12,12
Zweilous (Scarlet),Dark,Dragon,,60,60,60,60
Glimmet,Rock,Poison,,4,4,4,4
Flutter Mane (Scarlet),Ghost,Fairy,,63,63,63,63
Roaring Moon (Scarlet),Dragon,Dark,,6,6,6,6
Houndstone,Ghost,Ghost,,5,5,5,5
Lycanroc (Midnight),Rock,Rock,,80,80,80,80
Deino (Scarlet),Dark,Dragon,,30,30,30,30
Salazzle,Poison,Fire,,5,5,5,5
Volcarona,Bug,Fire,,1,1,1,1
Brute Bonnet (Scarlet),Grass,Dark,,30,30,30,30
Masquerain,Bug,Flying,,30,30,30,30
Bisharp,Dark,Steel,,30,30,30,30
Bellibolt,Electric,Electric,,30,30,30,30
Camerupt,Fire,Ground,,20,20,20,20
Drakloak (Violet),Dragon,Ghost,,40,40,40,40
Iron Thorns (Violet),Rock,Electric,,30,30,30,30
Iron Bundle (Violet),Ice,Water,,80,80,80,80
Iron Hands (Violet),Fighting,Electric,,50,50,50,50
Iron Moth (Violet),Fire,Poison,,15,15,15,15
Iron Jugulis (Violet),Dark,Flying,,63,63,63,63
Iron Valiant (Violet),Fairy,Fighting,,6,6,6,6
Dunsparce,Normal,Normal,,20,20,20,20
Hypno,Psychic,Psychic,,20,20,20,20
Espathra,Psychic,Psychic,,5,5,5,5
Glimmora,Rock,Poison,,40,40,40,40
Dudunsparce,Normal,Normal,,2,2,2,2
Great Tusk (Scarlet),Ground,Fighting,,10,10,10,10
Iron Treads (Violet),Ground,Steel,,10,10,10,10
