Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Mismagius (Violet),Ghost,Ghost,,0,0,0,3
Drakloak (Violet),Dragon,Ghost,,25,25,25,25
Golduck,Water,Water,,20,20,20,20
Scyther,Bug,Flying,,80,80,80,80
Vaporeon,Water,Water,,1,1,1,1
Passimian (Violet),Fighting,Fighting,,15,15,15,15
Dratini,Dragon,Dragon,,15,15,15,15
Altaria,Dragon,Flying,,20,20,20,20
Arcanine,Fire,Fire,,4,4,4,4
Houndoom,Dark,Fire,,40,40,40,40
Camerupt,Fire,Ground,,20,20,20,20
Grumpig,Psychic,Psychic,,20,20,20,20
Luxray,Electric,Electric,,50,50,50,50
Honchkrow,Dark,Flying,,0,0,20,20
Lucario,Fighting,Steel,,3,3,3,3
Bisharp,Dark,Steel,,65,65,65,65
Gogoat,Grass,Grass,,30,30,30,30
Hawlucha,Fighting,Flying,,60,60,60,60
Noibat,Flying,Dragon,,70,70,70,70
Noivern,Flying,Dragon,,50,50,50,50
Copperajah,Steel,Steel,,20,20,20,20
Lokix,Bug,Dark,,90,90,90,90
Naclstack,Rock,Rock,,60,60,60,60
Dugtrio,Ground,Ground,,20,20,20,20
Umbreon,Dark,Dark,,0,0,0,1
Sableye,Dark,Ghost,,20,20,20,20
Gabite,Dragon,Ground,,10,10,10,10
Deino (Scarlet),Dark,Dragon,,30,30,30,30
Zweilous (Scarlet),Dark,Dragon,,10,10,10,10
Salazzle,Poison,Fire,,5,5,5,5
Glimmet,Rock,Poison,,1,1,1,1
Chansey,Normal,Normal,,1,1,1,1
Jumpluff,Grass,Flying,,20,20,20,20
Blissey,Normal,Normal,,1,1,1,1
Vespiquen,Bug,Flying,,20,20,20,20
Vivillon,Bug,Flying,,30,30,30,30
Floette,Fairy,Fairy,,223,223,223,223
Lurantis,Grass,Grass,,30,30,30,30
Venomoth,Bug,Poison,,0,0,0,20
Heracross,Bug,Fighting,,10,10,10,10
Ursaring,Normal,Normal,,20,20,20,20
Kricketune,Bug,Bug,,30,30,30,30
Foongus,Grass,Normal,,15,15,15,15
Amoonguss,Grass,Poison,,15,15,15,15
Oranguru (Scarlet),Normal,Psychic,,15,15,15,15
Falinks,Fighting,Fighting,,60,60,60,60
Spidops,Bug,Bug,,20,20,20,20
Bronzong,Steel,Psychic,,20,20,20,20
Houndstone,Ghost,Ghost,,5,5,5,5
