Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Misdreavus (Violet),Ghost,Ghost,,0,0,0,75
Mankey,Fighting,Fighting,,80,80,80,80
Skiploom,Grass,Flying,,60,60,60,60
Murkrow,Dark,Flying,,0,0,40,40
Dunsparce,Normal,Normal,,7,7,7,7
Stantler,Normal,Normal,,80,80,80,80
Bagon (Violet),Dragon,Dragon,,50,50,50,50
Clauncher (Violet),Water,Water,,60,60,60,60
Shroomish,Grass,Grass,,30,30,30,30
Slakoth,Normal,Normal,,10,10,10,10
Dreepy (Violet),Dragon,Ghost,,40,40,40,40
Vigoroth,Normal,Normal,,40,40,40,40
Zangoose,Normal,Normal,,45,45,45,45
Seviper,Poison,Poison,,30,30,30,30
Luxio,Electric,Electric,,20,20,20,20
Pachirisu,Electric,Electric,,10,10,10,10
Stunky (Scarlet),Poison,Dark,,60,60,60,60
Deerling,Normal,Grass,,40,40,40,40
Fletchinder,Fire,Flying,,30,30,30,30
Litleo,Fire,Normal,,140,140,140,140
Rookidee,Flying,Flying,,90,90,90,90
Corvisquire,Flying,Flying,,80,80,80,80
Lechonk,Normal,Normal,,80,80,80,80
Oinkologne (Male),Normal,Normal,,20,20,20,20
Oinkologne (Female),Normal,Normal,,20,20,20,20
Tarountula,Bug,Bug,,50,50,50,50
Pawmo,Electric,Fighting,,25,25,25,25
Toedscool,Ground,Grass,,2,2,2,2
Gastly,Ghost,Poison,,15,15,15,65
Larvitar (Scarlet),Rock,Ground,,75,75,75,75
Swablu,Normal,Flying,,70,70,70,70
Drifloon (Scarlet),Ghost,Flying,,0,0,30,30
Axew,Dragon,Dragon,,80,80,80,80
Skiddo,Grass,Grass,,80,80,80,80
Rockruff (Standard),Rock,Rock,,40,40,40,40
Rockruff (Own Tempo),Rock,Rock,,2,2,2,2
Mudbray,Ground,Ground,,75,75,75,75
Charcadet,Fire,Fire,,2,2,2,2
Flittle,Psychic,Psychic,,60,60,60,60
Psyduck,Water,Water,,150,150,150,150
Wooper,Poison,Ground,,140,140,140,140
Croagunk,Poison,Fighting,,110,110,110,110
Goomy,Dragon,Dragon,,100,100,100,100
Chewtle,Water,Water,,80,80,80,80
Drednaw,Water,Rock,,20,20,20,20
Tadbulb,Electric,Electric,,120,120,120,120
Flamigo,Flying,Fighting,,60,60,60,60
Clodsire,Poison,Ground,,40,40,40,40
Magikarp,Water,Water,,140,140,140,140
Marill,Water,Fairy,,120,120,120,120
Surskit,Bug,Water,,120,120,120,120
Barboach,Water,Ground,,60,60,60,60
Basculin (Red-Striped),Water,Water,,120,120,120,120
Basculin (Blue-Striped),Water,Water,,120,120,120,120
Slowpoke,Water,Psychic,,60,60,60,60
Masquerain,Bug,Flying,,20,20,20,20
Buizel,Water,Water,,60,60,60,60
Pawniard,Dark,Steel,,90,90,90,90
Arrokuda,Water,Water,,100,100,100,100
Shellder,Water,Water,,120,120,120,120
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Luvdisc,Water,Water,,60,60,60,60
Wattrel,Electric,Flying,,120,120,120,120
Finizen,Water,Water,,30,30,30,30
Makuhita,Fighting,Fighting,,30,30,30,30
Yungoos,Normal,Normal,,20,20,20,20
Gumshoos,Normal,Normal,,30,30,30,30
Nacli,Rock,Rock,,75,75,75,75
Shellos,Water,Ground (East Sea),,60,60,60,60
Crabrawler,Fighting,Fighting,,30,30,30,30
Sandygast,Ghost,Ground,,60,60,60,60
Pincurchin,Electric,Electric,,10,10,10,10
Wiglett,Water,Water,,60,60,60,60
Combee,Bug,Flying,,40,40,40,40
Spewpa,Bug,Bug,,30,30,30,30
Flabebe,Fairy,Fairy,,246,246,246,246
Floette,Fairy,Fairy,,223,223,223,223
Fomantis,Grass,Grass,,60,60,60,60
Bronzor,Steel,Psychic,,60,60,60,60
Tinkatink,Fairy,Steel,,15,15,15,15
