Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Murkrow,Dark,Flying,,0,0,100,100
Dunsparce,Normal,Normal,,2,2,2,2
Gulpin (Violet),Poison,Poison,,80,80,80,80
Happiny,Normal,Normal,,1,1,1,1
Rookidee,Flying,Flying,,90,90,90,90
Nymble,Bug,Bug,,60,60,60,60
Pawmi,Electric,Electric,,10,10,10,10
Shuppet,Ghost,Ghost,,0,0,0,70
Drifloon (Scarlet),Ghost,Flying,,0,0,40,40
Oricorio (Baile Style),Fire,Flying,,40,40,40,40
Tandemaus,Normal,Normal,,10,10,10,10
Squawkabilly,Normal,Flying,,50,50,50,50
Growlithe,Fire,Fire,,20,20,20,20
Makuhita,Fighting,Fighting,,30,30,30,30
Spoink,Psychic,Psychic,,20,20,20,20
Shinx,Electric,Electric,,60,60,60,60
Skiddo,Grass,Grass,,50,50,50,50
Yungoos,Normal,Normal,,20,20,20,20
Nacli,Rock,Rock,,60,60,60,60
Charcadet,Fire,Fire,,1,1,1,1
Klawf,Rock,Rock,,30,30,30,30
Gastly,Ghost,Poison,,15,15,15,15
Drowzee,Psychic,Psychic,,40,40,40,40
Bronzor,Steel,Psychic,,60,60,60,60
Tinkatink,Fairy,Steel,,15,15,15,15
