Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Misdreavus (Violet),Ghost,Ghost,,0,0,0,15
Mareep,Electric,Electric,,90,90,90,90
Hoppip,Grass,Flying,,60,60,60,60
Starly,Normal,Flying,,50,50,50,0
Happiny,Normal,Normal,,2,2,2,2
Fletchling,Normal,Flying,,60,60,60,60
Maschiff,Dark,Dark,,80,80,80,80
Pikachu,Electric,Electric,,10,10,10,10
Pichu,Electric,Electric,,10,10,10,10
Bonsly,Rock,Rock,,30,30,30,30
Bounsweet,Grass,Grass,,60,60,60,60
Skwovet,Normal,Normal,,80,80,80,80
Applin,Grass,Dragon,,10,10,10,10
Shroodle,Poison,Normal,,20,20,20,20
Jigglypuff,Normal,Fairy,,60,60,60,60
Igglybuff,Normal,Fairy,,60,60,60,60
Fidough,Fairy,Fairy,,50,50,50,50
Gastly,Ghost,Poison,,15,15,15,65
Skiddo,Grass,Grass,,60,60,60,60
Rockruff (Standard),Rock,Rock,,40,40,40,40
Rockruff (Own Tempo),Rock,Rock,,2,2,2,2
Psyduck,Water,Water,,60,60,60,60
Magikarp,Water,Water,,20,20,20,20
Azurill,Normal,Fairy,,60,60,60,60
Buizel,Water,Water,,20,20,20,20
Chewtle,Water,Water,,10,10,10,10
Arrokuda,Water,Water,,40,40,40,40
Tadbulb,Electric,Electric,,50,50,50,50
Makuhita,Fighting,Fighting,,30,30,30,30
Yungoos,Normal,Normal,,20,20,20,20
Nacli,Rock,Rock,,60,60,60,60
Sunkern,Grass,Grass,,60,60,60,0
Combee,Bug,Flying,,70,70,70,70
Flabebe,Fairy,Fairy,,246,246,246,246
Diglett,Ground,Ground,,50,50,50,50
Eevee,Normal,Normal,,5,5,5,5
Kricketot,Bug,Bug,,30,30,30,30
Smoliv,Grass,Normal,,100,100,100,100
Drowzee,Psychic,Psychic,,40,40,40,40
Bronzor,Steel,Psychic,,60,60,60,60
Tinkatink,Fairy,Steel,,15,15,15,15
