Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Venonat,Bug,Poison,,40,40,40,40
Venomoth,Bug,Poison,,0,0,0,20
Murkrow,Dark,Flying,,0,0,20,20
Dreepy (Violet),Dragon,Ghost,,20,20,20,20
Misdreavus (Violet),Ghost,Ghost,,0,0,0,60
Pineco,Bug,Bug,,60,60,60,60
Dunsparce,Normal,Normal,,4,4,4,4
Zorua,Dark,Dark,,30,30,30,30
Foongus,Grass,Normal,,60,60,60,60
Passimian (Violet),Fighting,Fighting,,15,15,15,15
Oranguru (Scarlet),Normal,Psychic,,15,15,15,15
Komala,Normal,Normal,,30,30,30,30
Mimikyu,Ghost,Fairy,,30,30,30,30
Greedent,Normal,Normal,,30,30,30,30
Applin,Grass,Dragon,,10,10,10,10
Impidimp,Dark,Fairy,,40,40,40,40
Morgrem,Dark,Fairy,,20,20,20,20
Oinkologne (Male),Normal,Normal,,20,20,20,20
Oinkologne (Female),Normal,Normal,,20,20,20,20
Spidops,Bug,Bug,,30,30,30,30
Charcadet,Fire,Fire,,2,2,2,2
Shroodle,Poison,Normal,,80,80,80,80
Grafaiai,Poison,Normal,,70,70,70,70
Toedscool,Ground,Grass,,10,10,10,10
Psyduck,Water,Water,,120,120,120,120
Magikarp,Water,Water,,80,80,80,80
Barboach,Water,Ground,,60,60,60,60
Whiscash,Water,Ground,,10,10,10,10
Basculin (Red-Striped),Water,Water,,120,120,120,120
Basculin (Blue-Striped),Water,Water,,120,120,120,120
Drednaw,Water,Rock,,20,20,20,20
Clodsire,Poison,Ground,,30,30,30,30
Buizel,Water,Water,,20,20,20,20
Floatzel,Water,Water,,10,10,10,10
Pawniard,Dark,Steel,,90,90,90,90
Chewtle,Water,Water,,10,10,10,10
Arrokuda,Water,Water,,40,40,40,40
Barraskewda,Water,Water,,20,20,20,20
Tadbulb,Electric,Electric,,50,50,50,50
Flamigo,Flying,Fighting,,12,12,12,12
Makuhita,Fighting,Fighting,,30,30,30,30
Hariyama,Fighting,Fighting,,15,15,15,15
Skiddo,Grass,Grass,,50,50,50,50
Gogoat,Grass,Grass,,30,30,30,30
Gumshoos,Normal,Normal,,30,30,30,30
Lokix,Bug,Dark,,30,30,30,30
Nacli,Rock,Rock,,60,60,60,60
Naclstack,Rock,Rock,,60,60,60,60
Chansey,Normal,Normal,,1,1,1,1
Sunflora,Grass,Grass,,30,30,30,0
Vespiquen,Bug,Flying,,20,20,20,20
Vivillon,Bug,Flying,,30,30,30,30
Floette,Fairy,Fairy,,223,223,223,223
Fomantis,Grass,Grass,,60,60,60,60
Dolliv,Grass,Normal,,10,10,10,10
