Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Meowth,Normal,Normal,,90,90,90,90
Chansey,Normal,Normal,,1,1,1,1
Tauros (Combat Breed),Fighting,Fighting,,40,40,40,40
Tauros (Blaze Breed) (Scarlet),Fighting,Fire,,3,3,3,3
Tauros (Aqua Breed) (Violet),Fighting,Water,,3,3,3,3
Dreepy (Violet),Dragon,Ghost,,5,5,5,5
Clauncher (Violet),Water,Water,,60,60,60,60
Bagon (Violet),Dragon,Dragon,,10,10,10,10
Ditto,Normal,Normal,,40,40,40,40
Flaaffy,Electric,Electric,,30,30,30,30
Murkrow,Dark,Flying,,0,0,100,100
Girafarig,Normal,Psychic,,50,50,50,50
Dunsparce,Normal,Normal,,7,7,7,7
Donphan,Ground,Ground,,30,30,30,30
Staravia,Normal,Flying,,30,30,30,0
Stunky (Scarlet),Poison,Dark,,30,30,30,30
Deerling,Normal,Grass,,70,70,70,70
Oinkologne (Male),Normal,Normal,,20,20,20,20
Oinkologne (Female),Normal,Normal,,20,20,20,20
Pawmo,Electric,Fighting,,10,10,10,10
Maschiff,Dark,Dark,,30,30,30,30
Toedscool,Ground,Grass,,2,2,2,2
Cyclizar,Dragon,Normal,,30,30,30,30
Grimer,Poison,Poison,,80,80,80,80
Kirlia,Psychic,Fairy,,50,50,50,0
Drifloon (Scarlet),Ghost,Flying,,0,0,40,40
Drifblim (Scarlet),Ghost,Flying,,0,0,20,20
Rotom,Electric,Ghost,,10,10,10,10
Tandemaus,Normal,Normal,,10,10,10,10
Varoom,Steel,Poison,,10,10,10,10
Psyduck,Water,Water,,60,60,60,60
Slowpoke,Water,Psychic,,60,60,60,60
Magikarp,Water,Water,,80,80,80,80
Marill,Water,Fairy,,60,60,60,60
Azumarill,Water,Water,,30,30,30,30
Buizel,Water,Water,,60,60,60,60
Floatzel,Water,Water,,60,60,60,60
Croagunk,Poison,Fighting,,20,20,20,20
Basculin (Red-Striped),Water,Water,,60,60,60,60
Basculin (Blue-Striped),Water,Water,,60,60,60,60
Chewtle,Water,Water,,10,10,10,10
Drednaw,Water,Rock,,10,10,10,10
Arrokuda,Water,Water,,100,100,100,100
Barraskewda,Water,Water,,40,40,40,40
Tadbulb,Electric,Electric,,50,50,50,50
Flamigo,Flying,Fighting,,12,12,12,12
Shellder,Water,Water,,60,60,60,60
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Wingull,Water,Flying,,140,140,140,140
Wattrel,Electric,Flying,,120,120,120,120
Kilowattrel,Electric,Flying,,60,60,60,60
Finizen,Water,Water,,30,30,30,30
Makuhita,Fighting,Fighting,,50,50,50,50
Hariyama,Fighting,Fighting,,25,25,25,25
Skiddo,Grass,Grass,,50,50,50,50
Yungoos,Normal,Normal,,80,80,80,80
Gumshoos,Normal,Normal,,60,60,60,60
Lokix,Bug,Dark,,30,30,30,30
Nacli,Rock,Rock,,75,75,75,75
Charcadet,Fire,Fire,,2,2,2,2
Shellos,Water,Ground,,60,60,60,60
Crabrawler,Fighting,Fighting,,30,30,30,30
Sandygast,Ghost,Ground,,60,60,60,60
Pincurchin,Electric,Electric,,10,10,10,10
Wiglett,Water,Water,,60,60,60,60
Wugtrio,Water,Water,,20,20,20,20
Diglett,Ground,Ground,,20,20,20,20
Dugtrio,Ground,Ground,,20,20,20,20
Larvitar (Scarlet),Rock,Ground,,10,10,10,10
Sableye,Dark,Ghost,,20,20,20,20
Meditite,Fighting,Psychic,,60,60,60,60
Gible,Dragon,Ground,,15,15,15,15
Noibat,Flying,Dragon,,70,70,70,70
Salandit,Poison,Fire,,60,60,60,60
Glimmet,Rock,Poison,,1,1,1,1
