Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Magneton,Electric,Steel,,20,20,20,20
Haunter,Ghost,Poison,,0,0,0,40
Misdreavus (Violet),Ghost,Ghost,,0,0,0,15
Chansey,Normal,Normal,,2,2,2,2
Flareon,Fire,Fire,,1,1,1,1
Sneasel,Dark,Ice,,60,60,60,60
Ursaring,Normal,Normal,,20,20,20,20
Vigoroth,Normal,Normal,,40,40,40,40
Grumpig,Psychic,Psychic,,40,40,40,40
Bagon (Violet),Dragon,Dragon,,10,10,10,10
Snorunt,Ice,Ice,,80,80,80,80
Drifblim (Scarlet),Ghost,Flying,,0,0,50,50
Honchkrow,Dark,Flying,,0,0,40,40
Gallade,Psychic,Fighting,,1,1,1,0
Deerling,Normal,Grass,,160,160,160,160
Sawsbuck,Normal,Grass,,70,70,70,70
Axew,Dragon,Dragon,,60,60,60,60
Cubchoo,Ice,Ice,,10,10,10,10
Rufflet,Normal,Flying,,25,25,25,25
Pyroar,Fire,Normal,,180,180,180,180
Gogoat,Grass,Grass,,70,70,70,70
Lycanroc (Midday),Rock,Rock,,20,20,0,0
Lycanroc (Midnight),Rock,Rock,,0,0,0,20
Mudbray,Ground,Ground,,60,60,60,60
Mudsdale,Ground,Ground,,12,12,12,12
Greedent,Normal,Normal,,20,20,20,20
Snom,Ice,Bug,,30,30,30,30
Lokix,Bug,Dark,,50,50,50,50
Pawmo,Electric,Fighting,,25,25,25,25
Scovillain,Grass,Fire,,10,10,10,10
Flittle,Psychic,Psychic,,60,60,60,60
Espathra,Psychic,Psychic,,20,20,20,20
Greavard,Ghost,Ghost,,30,30,30,30
Cetoddle,Ice,Ice,,50,50,50,50
Hariyama,Fighting,Fighting,,25,25,25,25
Gumshoos,Normal,Normal,,60,60,60,60
Naclstack,Rock,Rock,,60,60,60,60
Dugtrio,Ground,Ground,,20,20,20,20
Umbreon,Dark,Dark,,0,0,0,1
Dunsparce,Normal,Normal,,7,7,7,7
Larvitar (Scarlet),Rock,Ground,,10,10,10,10
Sableye,Dark,Ghost,,20,20,20,20
Gabite,Dragon,Ground,,10,10,10,10
Deino (Scarlet),Dark,Dragon,,30,30,30,30
Salandit,Poison,Fire,,60,60,60,60
Salazzle,Poison,Fire,,5,5,5,5
Glimmet,Rock,Poison,,1,1,1,1
Frigibax,Dragon,Ice,,2,2,2,2
Meowth,Normal,Normal,,90,90,90,90
Persian,Normal,Normal,,60,60,60,60
Scyther,Bug,Flying,,3,3,3,3
Ditto,Normal,Normal,,40,40,40,40
Jumpluff,Grass,Flying,,30,30,30,30
Espeon,Psychic,Psychic,,1,1,1,0
Murkrow,Dark,Flying,,0,0,100,100
Tropius,Grass,Flying,,10,10,10,10
Staravia,Normal,Flying,,30,30,30,0
Zorua,Dark,Dark,,15,15,15,15
Fletchinder,Fire,Flying,,30,30,30,30
Oinkologne (Male),Normal,Normal,,20,20,20,20
Oinkologne (Female),Normal,Normal,,20,20,20,20
Mabosstiff,Dark,Dark,,20,20,20,20
Toedscool,Ground,Grass,,2,2,2,2
Electrode,Electric,Electric,,10,10,10,10
Drifloon (Scarlet),Ghost,Flying,,0,0,40,40
Dedenne,Electric,Fairy,,20,20,20,20
Dachsbun,Fairy,Fairy,,30,30,30,30
Bombirdier,Flying,Dark,,5,5,5,5
