Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Meowth,Normal,Normal,,105,105,105,105
Magnemite,Electric,Steel,,70,70,70,70
Murkrow,Dark,Flying,,0,0,100,100
Dunsparce,Normal,Normal,,7,7,7,7
Rookidee,Flying,Flying,,60,60,60,60
Corvisquire,Flying,Flying,,50,50,50,50
Pawmo,Electric,Fighting,,10,10,10,10
Bagon (Violet),Dragon,Dragon,,13,13,13,13
Toedscool,Ground,Grass,,2,2,2,2
Clauncher (Violet),Water,Water,,60,60,60,60
Voltorb,Electric,Electric,,60,60,60,60
Shuppet,Ghost,Ghost,,0,0,0,70
Misdreavus (Violet),Ghost,Ghost,,0,0,0,60
Drifloon (Scarlet),Ghost,Flying,,0,0,40,40
Drifblim (Scarlet),Ghost,Flying,,0,0,20,20
Gothita,Psychic,Psychic,,30,30,30,30
Sinistea,Ghost,Ghost,,30,30,30,30
Dreepy (Violet),Dragon,Ghost,,20,20,20,20
Tandemaus,Normal,Normal,,10,10,10,10
Dachsbun,Fairy,Fairy,,30,30,30,30
Squawkabilly,Normal,Flying,,50,50,50,50
Varoom,Steel,Poison,,25,25,25,25
Psyduck,Water,Water,,120,120,120,120
Magikarp,Water,Water,,140,140,140,140
Barboach,Water,Ground,,60,60,60,60
Basculin (Red-Striped),Water,Water,,120,120,120,120
Basculin (Blue-Striped),Water,Water,,120,120,120,120
Goomy,Dragon,Dragon,,40,40,40,40
Chewtle,Water,Water,,20,20,20,20
Drednaw,Water,Rock,,20,20,20,20
Flamigo,Flying,Fighting,,22,22,22,22
Clodsire,Poison,Ground,,30,30,30,30
Buizel,Water,Water,,40,40,40,40
Floatzel,Water,Water,,10,10,10,10
Pawniard,Dark,Steel,,60,60,60,60
Arrokuda,Water,Water,,100,100,100,100
Barraskewda,Water,Water,,40,40,40,40
Tadbulb,Electric,Electric,,50,50,50,50
Shellder,Water,Water,,60,60,60,60
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Luvdisc,Water,Water,,60,60,60,60
Finizen,Water,Water,,30,30,30,30
Wattrel,Electric,Flying,,60,60,60,60
Diglett,Ground,Ground,,60,60,60,60
Dugtrio,Ground,Ground,,60,60,60,60
Umbreon,Dark,Dark,,0,0,0,1
Larvitar (Scarlet),Rock,Ground,,13,13,13,13
Makuhita,Fighting,Fighting,,30,30,30,30
Hariyama,Fighting,Fighting,,50,50,50,50
Sableye,Dark,Ghost,,20,20,20,20
Gabite,Dragon,Ground,,10,10,10,10
Deino (Scarlet),Dark,Dragon,,30,30,30,30
Yungoos,Normal,Normal,,60,60,60,60
Gumshoos,Normal,Normal,,30,30,30,30
Salandit,Poison,Fire,,60,60,60,60
Salazzle,Poison,Fire,,5,5,5,5
Rolycoly,Rock,Rock,,80,80,80,80
Charcadet,Fire,Fire,,1,1,1,1
Glimmet,Rock,Poison,,1,1,1,1
Growlithe,Fire,Fire,,10,10,10,10
Gastly,Ghost,Poison,,0,0,0,30
Torkoal,Fire,Fire,,10,10,10,10
Rufflet,Normal,Flying,,20,20,20,20
Carkol,Rock,Fire,,60,60,60,60
Silicobra,Ground,Ground,,10,10,10,10
Cufant,Steel,Steel,,60,60,60,60
Bramblin,Grass,Ghost,,60,60,60,60
Orthworm,Steel,Steel,,30,30,30,30
