Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Magnemite,Electric,Steel,,70,70,70,70
Chansey,Normal,Normal,,1,1,1,1
Tauros (Combat Breed),Fighting,Fighting,,40,40,40,40
Tauros (Blaze Breed) (Scarlet),Fighting,Fire,,3,3,3,3
Tauros (Aqua Breed) (Violet),Fighting,Water,,3,3,3,3
Marill,Water,Fairy,,170,170,170,170
Clauncher (Violet),Water,Water,,60,60,60,60
Dreepy (Violet),Dragon,Ghost,,40,40,40,40
Skiploom,Grass,Flying,,40,40,40,40
Murkrow,Dark,Flying,,0,0,120,120
Dunsparce,Normal,Normal,,6,6,6,6
Deerling,Normal,Grass,,70,70,70,70
Rookidee,Flying,Flying,,90,90,90,90
Corvisquire,Flying,Flying,,80,80,80,80
Oinkologne (Male),Normal,Normal,,40,40,40,40
Oinkologne (Female),Normal,Normal,,40,40,40,40
Cyclizar,Dragon,Normal,,45,45,45,45
Pawmo,Electric,Fighting,,10,10,10,10
Wattrel,Electric,Flying,,230,230,230,230
Toedscool,Ground,Grass,,12,12,12,12
Venonat,Bug,Poison,,40,40,40,40
Pineco,Bug,Bug,,60,60,60,60
Komala,Normal,Normal,,30,30,30,30
Applin,Grass,Dragon,,10,10,10,10
Spidops,Bug,Bug,,30,30,30,30
Shroodle,Poison,Normal,,20,20,20,20
Charcadet,Fire,Fire,,2,2,2,2
Grimer,Poison,Poison,,80,80,80,80
Kirlia,Psychic,Fairy,,50,50,50,0
Shuppet,Ghost,Ghost,,0,0,0,70
Drifloon (Scarlet),Ghost,Flying,,0,0,40,40
Rotom,Electric,Ghost,,10,10,10,10
Tandemaus,Normal,Normal,,10,10,10,10
Squawkabilly,Normal,Flying,,50,50,50,50
Psyduck,Water,Water,,60,60,60,60
Slowpoke,Water,Psychic,,60,60,60,60
Magikarp,Water,Water,,80,80,80,80
Buizel,Water,Water,,60,60,60,60
Basculin (Red-Striped),Water,Water,,60,60,60,60
Basculin (Blue-Striped),Water,Water,,60,60,60,60
Chewtle,Water,Water,,10,10,10,10
Drednaw,Water,Rock,,10,10,10,10
Arrokuda,Water,Water,,100,100,100,100
Tadbulb,Electric,Electric,,50,50,50,50
Shellder,Water,Water,,120,120,120,120
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Luvdisc,Water,Water,,60,60,60,60
Mareanie,Poison,Water,,140,140,140,140
Finizen,Water,Water,,30,30,30,30
Makuhita,Fighting,Fighting,,30,30,30,30
Skiddo,Grass,Grass,,50,50,50,50
Yungoos,Normal,Normal,,20,20,20,20
Gumshoos,Normal,Normal,,30,30,30,30
Lokix,Bug,Dark,,30,30,30,30
Nacli,Rock,Rock,,75,75,75,75
Crabrawler,Fighting,Fighting,,30,30,30,30
Sandygast,Ghost,Ground,,60,60,60,60
Pincurchin,Electric,Electric,,10,10,10,10
Wiglett,Water,Water,,60,60,60,60
Gastly,Ghost,Poison,,15,15,15,15
Bronzor,Steel,Psychic,,60,60,60,60
Mimikyu,Ghost,Fairy,,10,10,10,10
Tinkatink,Fairy,Steel,,15,15,15,15
Tinkatuff,Fairy,Steel,,15,15,15,15
