Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Magneton,Electric,Steel,,46,46,46,46
Haunter,Ghost,Poison,,0,0,0,140
Chansey,Normal,Normal,,3,3,3,3
Flareon,Fire,Fire,,2,2,2,2
Ampharos,Electric,Electric,,10,10,10,10
Sneasel,Dark,Ice,,240,240,240,240
Ursaring,Normal,Normal,,20,20,20,20
Vigoroth,Normal,Normal,,20,20,20,20
Grumpig,Psychic,Psychic,,40,40,40,40
Altaria,Dragon,Flying,,40,40,40,40
Snorunt,Ice,Ice,,130,130,130,130
Misdreavus (Violet),Ghost,Ghost,,0,0,0,15
Drifblim (Scarlet),Ghost,Flying,,0,0,80,80
Honchkrow,Dark,Flying,,0,0,80,80
Gallade,Psychic,Fighting,,2,2,2,0
Deerling,Normal,Grass,,180,180,180,180
Sawsbuck,Normal,Grass,,180,180,180,180
Axew,Dragon,Dragon,,60,60,60,60
Fraxure,Dragon,Dragon,,20,20,20,20
Cubchoo,Ice,Ice,,140,140,140,140
Rufflet,Normal,Flying,,50,50,50,50
Pyroar,Fire,Normal,,180,180,180,180
Gogoat,Grass,Grass,,140,140,140,140
Lycanroc (Midday),Rock,Rock,,40,40,0,0
Lycanroc (Midnight),Rock,Rock,,0,0,0,40
Mudbray,Ground,Ground,,120,120,120,120
Mudsdale,Ground,Ground,,24,24,24,24
Greedent,Normal,Normal,,40,40,40,40
Snom,Ice,Bug,,90,90,90,90
Lokix,Bug,Dark,,100,100,100,100
Pawmo,Electric,Fighting,,30,30,30,30
Scovillain,Grass,Fire,,20,20,20,20
Flittle,Psychic,Psychic,,120,120,120,120
Espathra,Psychic,Psychic,,40,40,40,40
Tinkatuff,Fairy,Steel,,40,40,40,40
Greavard,Ghost,Ghost,,110,110,110,110
Houndstone,Ghost,Ghost,,25,25,25,25
Cetoddle,Ice,Ice,,220,220,220,220
Delibird,Ice,Flying,,50,50,50,50
Glalie,Ice,Ice,,20,20,20,20
Bronzong,Steel,Psychic,,80,80,80,80
Glaceon,Ice,Ice,,2,2,2,2
Froslass,Ice,Ice,,4,4,4,4
Beartic,Ice,Ice,,40,40,40,40
Bergmite,Ice,Ice,,180,180,180,180
Avalugg,Ice,Ice,,60,60,60,60
Crabrawler,Fighting,Fighting,,4,4,4,4
Frosmoth,Ice,Bug,,10,10,10,10
Frigibax,Dragon,Ice,,4,4,4,4
Hariyama,Fighting,Fighting,,40,40,40,40
Gumshoos,Normal,Normal,,90,90,90,90
Copperajah,Steel,Steel,,40,40,40,40
Naclstack,Rock,Rock,,120,120,120,120
Revavroom,Steel,Poison,,20,20,20,20
Hypno,Psychic,Psychic,,40,40,40,40
Mimikyu,Ghost,Fairy,,10,10,10,10
Murkrow,Dark,Flying,,0,0,60,60
Kirlia,Psychic,Fairy,,50,50,50,0
Banette,Ghost,Ghost,,0,0,0,70
Snover,Grass,Ice,,110,110,110,110
Klefki,Steel,Fairy,,20,20,20,20
Gardevoir,Psychic,Fairy,,10,10,10,0
Abomasnow,Grass,Ice,,20,20,20,20
Cryogonal,Ice,Ice,,100,100,100,100
Psyduck,Water,Water,,120,120,120,120
Golduck,Water,Water,,40,40,40,40
Magikarp,Water,Water,,140,140,140,140
Vaporeon,Water,Water,,2,2,2,2
Whiscash,Water,Ground,,10,10,10,10
Basculin (Red-Striped),Water,Water,,120,120,120,120
Basculin (Blue-Striped),Water,Water,,120,120,120,120
Drednaw,Water,Rock,,20,20,20,20
Hattrem,Psychic,Psychic,,30,30,30,30
Flamigo,Flying,Fighting,,22,22,22,22
Clodsire,Poison,Ground,,30,30,30,30
Floatzel,Water,Water,,50,50,50,50
Barraskewda,Water,Water,,40,40,40,40
Tadbulb,Electric,Electric,,50,50,50,50
Bellibolt,Electric,Electric,,5,5,5,5
Shellder,Water,Water,,60,60,60,60
Cloyster,Water,Ice,,10,10,10,10
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Skrelp (Scarlet),Poison,Water,,60,60,60,60
Kilowattrel,Electric,Flying,,30,30,30,30
Finizen,Water,Water,,30,30,30,30
Dugtrio,Ground,Ground,,20,20,20,20
Umbreon,Dark,Dark,,0,0,0,1
Dunsparce,Normal,Normal,,5,5,5,5
Larvitar (Scarlet),Rock,Ground,,10,10,10,10
Sableye,Dark,Ghost,,20,20,20,20
Gabite,Dragon,Ground,,10,10,10,10
Deino (Scarlet),Dark,Dragon,,30,30,30,30
Salandit,Poison,Fire,,60,60,60,60
Salazzle,Poison,Fire,,5,5,5,5
Glimmet,Rock,Poison,,1,1,1,1
Jumpluff,Grass,Flying,,20,20,20,20
Sunflora,Grass,Grass,,30,30,30,0
Vespiquen,Bug,Flying,,20,20,20,20
Vivillon,Bug,Flying,,30,30,30,30
Floette,Fairy,Fairy,,223,223,223,223
Dolliv,Grass,Normal,,10,10,10,10
