Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Wigglytuff,Normal,Fairy,,5,5,5,5
Haunter,Ghost,Poison,,0,0,0,140
Chansey,Normal,Normal,,2,2,2,2
Flareon,Fire,Fire,,1,1,1,1
Ampharos,Electric,Electric,,10,10,10,10
Ursaring,Normal,Normal,,20,20,20,20
Grumpig,Psychic,Psychic,,40,40,40,40
Altaria,Dragon,Flying,,40,40,40,40
Clawitzer (Violet),Water,Water,,20,20,20,20
Eiscue (Violet),Ice,Ice,,90,90,90,90
Mismagius (Violet),Ghost,Ghost,,0,0,0,3
Drakloak (Violet),Dragon,Ghost,,30,30,30,30
Drifblim (Scarlet),Ghost,Flying,,0,0,30,30
Honchkrow,Dark,Flying,,0,0,40,40
Lucario,Fighting,Steel,,6,6,6,6
Gallade,Psychic,Fighting,,1,1,1,0
Sawsbuck,Normal,Grass,,90,90,90,90
Fraxure,Dragon,Dragon,,25,25,25,25
Rufflet,Normal,Flying,,25,25,25,25
Gogoat,Grass,Grass,,70,70,70,70
Hawlucha,Fighting,Flying,,120,120,120,120
Lycanroc (Midday),Rock,Rock,,20,20,0,0
Lycanroc (Midnight),Rock,Rock,,0,0,0,20
Lycanroc (Dusk),Rock,Rock,,0,0,1,0
Mudsdale,Ground,Ground,,12,12,12,12
Indeedee (Male),Psychic,Normal,,30,30,30,30
Indeedee (Female),Psychic,Normal,,30,30,30,30
Lokix,Bug,Dark,,50,50,50,50
Pawmo,Electric,Fighting,,15,15,15,15
Brambleghast,Grass,Ghost,,1,1,1,1
Scovillain,Grass,Fire,,10,10,10,10
Espathra,Psychic,Psychic,,20,20,20,20
Tinkatuff,Fairy,Steel,,10,10,10,10
Houndstone,Ghost,Ghost,,30,30,30,30
Glalie,Ice,Ice,,20,20,20,20
Bronzong,Steel,Psychic,,40,40,40,40
Weavile,Dark,Ice,,15,15,15,15
Glaceon,Ice,Ice,,1,1,1,1
Froslass,Ice,Ice,,2,2,2,2
Beartic,Ice,Ice,,20,20,20,20
Frosmoth,Ice,Bug,,10,10,10,10
Cetitan,Ice,Ice,,10,10,10,10
Golduck,Water,Water,,40,40,40,40
Vaporeon,Water,Water,,2,2,2,2
Dratini,Dragon,Dragon,,15,15,15,15
Whiscash,Water,Ground,,10,10,10,10
Flamigo,Flying,Fighting,,10,10,10,10
Clodsire,Poison,Ground,,30,30,30,30
Floatzel,Water,Water,,60,60,60,60
Bellibolt,Electric,Electric,,5,5,5,5
Cloyster,Water,Ice,,10,10,10,10
Gyarados,Water,Flying,,5,5,5,5
Alomomola,Water,Water,,20,20,20,20
Skrelp (Scarlet),Poison,Water,,60,60,60,60
Dragalge (Scarlet),Poison,Water,,20,20,20,20
Kilowattrel,Electric,Flying,,60,60,60,60
Primeape,Fighting,Fighting,,10,10,10,10
Noibat,Flying,Dragon,,70,70,70,70
Noivern,Flying,Dragon,,50,50,50,50
Copperajah,Steel,Steel,,20,20,20,20
Naclstack,Rock,Rock,,80,80,80,80
Revavroom,Steel,Poison,,20,20,20,20
Dugtrio,Ground,Ground,,20,20,20,20
Umbreon,Dark,Dark,,0,0,0,1
Sableye,Dark,Ghost,,20,20,20,20
Gabite,Dragon,Ground,,10,10,10,10
Deino (Scarlet),Dark,Dragon,,30,30,30,30
Zweilous (Scarlet),Dark,Dragon,,10,10,10,10
Salazzle,Poison,Fire,,5,5,5,5
Glimmet,Rock,Poison,,1,1,1,1
Pincurchin,Electric,Electric,,10,10,10,10
Wugtrio,Water,Water,,20,20,20,20
Jumpluff,Grass,Flying,,20,20,20,20
Sunflora,Grass,Grass,,30,30,30,0
Blissey,Normal,Normal,,1,1,1,1
Vespiquen,Bug,Flying,,20,20,20,20
Vivillon,Bug,Flying,,30,30,30,30
Floette,Fairy,Fairy,,223,223,223,223
Lurantis,Grass,Grass,,30,30,30,30
