Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Murkrow,Dark,Flying,,0,0,60,60
Misdreavus (Violet),Ghost,Ghost,,0,0,0,75
Dreepy (Violet),Dragon,Ghost,,5,5,5,5
Dunsparce,Normal,Normal,,24,24,24,24
Starly,Normal,Flying,,20,20,20,0
Staravia,Normal,Flying,,30,30,30,0
Pachirisu,Electric,Electric,,50,50,50,50
Deerling,Normal,Grass,,40,40,40,40
Fletchinder,Fire,Flying,,30,30,30,30
Toxel,Electric,Poison,,100,100,100,100
Lechonk,Normal,Normal,,200,200,200,200
Tarountula,Bug,Bug,,110,110,110,110
Pawmo,Electric,Fighting,,25,25,25,25
Maschiff,Dark,Dark,,80,80,80,80
Toedscool,Ground,Grass,,12,12,12,12
Pikachu,Electric,Electric,,10,10,10,10
Pineco,Bug,Bug,,60,60,60,60
Komala,Normal,Normal,,30,30,30,30
Applin,Grass,Dragon,,10,10,10,10
Charcadet,Fire,Fire,,3,3,3,3
Shroodle,Poison,Normal,,20,20,20,20
Gastly,Ghost,Poison,,15,15,15,65
Phanpy,Ground,Ground,,60,60,60,60
Meditite,Fighting,Psychic,,60,60,60,60
Swablu,Normal,Flying,,70,70,70,70
Drifloon (Scarlet),Ghost,Flying,,0,0,30,30
Riolu,Fighting,Fighting,,20,20,20,20
Rufflet,Normal,Flying,,25,25,25,25
Skiddo,Grass,Grass,,80,80,80,80
Rockruff (Standard),Rock,Rock,,40,40,40,40
Rockruff (Own Tempo),Rock,Rock,,2,2,2,2
Mudbray,Ground,Ground,,60,60,60,60
Psyduck,Water,Water,,120,120,120,120
Scyther,Bug,Flying,,30,30,30,30
Magikarp,Water,Water,,140,140,140,140
Marill,Water,Fairy,,120,120,120,120
Wooper,Poison,Ground,,60,60,60,60
Barboach,Water,Ground,,60,60,60,60
Basculin (Red-Striped),Water,Water,,120,120,120,120
Basculin (Blue-Striped),Water,Water,,120,120,120,120
Goomy,Dragon,Dragon,,40,40,40,40
Chewtle,Water,Water,,20,20,20,20
Hatenna,Psychic,Psychic,,40,40,40,40
Buizel,Water,Water,,40,40,40,40
Arrokuda,Water,Water,,100,100,100,100
Tadbulb,Electric,Electric,,50,50,50,50
Shellder,Water,Water,,60,60,60,60
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Luvdisc,Water,Water,,60,60,60,60
Wattrel,Electric,Flying,,60,60,60,60
Finizen,Water,Water,,30,30,30,30
Houndour,Dark,Fire,,60,60,60,60
Makuhita,Fighting,Fighting,,30,30,30,30
Yungoos,Normal,Normal,,20,20,20,20
Gumshoos,Normal,Normal,,30,30,30,30
Nacli,Rock,Rock,,60,60,60,60
Combee,Bug,Flying,,40,40,40,40
Petilil,Grass,Grass,,40,40,40,40
Spewpa,Bug,Bug,,30,30,30,30
Flabebe,Fairy,Fairy,,246,246,246,246
Floette,Fairy,Fairy,,223,223,223,223
Bronzor,Steel,Psychic,,60,60,60,60
Tinkatink,Fairy,Steel,,15,15,15,15
