Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Hoppip,Grass,Flying,,60,60,60,60
Happiny,Normal,Normal,,3,3,3,3
Fletchling,Normal,Flying,,60,60,60,60
Scatterbug,Bug,Bug,,60,60,60,60
Lechonk,Normal,Normal,,140,140,140,140
Tarountula,Bug,Bug,,110,110,110,110
Pawmi,Electric,Electric,,5,5,5,5
Pachirisu,Electric,Electric,,10,10,10,10
Pichu,Electric,Electric,,10,10,10,10
Bonsly,Rock,Rock,,30,30,30,30
Bounsweet,Grass,Grass,,60,60,60,60
Skwovet,Normal,Normal,,50,50,50,50
Shroodle,Poison,Normal,,20,20,20,20
Igglybuff,Normal,Fairy,,60,60,60,60
Ralts,Psychic,Fairy,,5,5,5,0
Fidough,Fairy,Fairy,,50,50,50,50
Psyduck,Water,Water,,120,120,120,120
Magikarp,Water,Water,,140,140,140,140
Wooper,Poison,Ground,,60,60,60,60
Surskit,Bug,Water,,120,120,120,120
Azurill,Normal,Fairy,,120,120,120,120
Chewtle,Water,Water,,10,10,10,10
Buizel,Water,Water,,60,60,60,60
Arrokuda,Water,Water,,100,100,100,100
Wingull,Water,Flying,,140,140,140,140
Sunkern,Grass,Grass,,60,60,60,0
Combee,Bug,Flying,,40,40,40,40
Spewpa,Bug,Bug,,30,30,30,30
Oricorio (Pom-Pom Style),Electric,Flying,,20,20,20,20
Gastly,Ghost,Poison,,15,15,15,15
Drowzee,Psychic,Psychic,,40,40,40,40
