Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Dreepy (Violet),Dragon,Ghost,,0,0,0,20
Misdreavus (Violet),Ghost,Ghost,,0,0,0,75
Mismagius (Violet),Ghost,Ghost,,0,0,0,3
Murkrow,Dark,Flying,,0,0,60,60
Banette,Ghost,Ghost,,0,0,0,70
Drifblim (Scarlet),Ghost,Flying,,0,0,50,50
Gothorita,Psychic,Psychic,,30,30,30,30
Gothitelle,Psychic,Psychic,,1,1,1,1
Sylveon,Fairy,Fairy,,1,1,1,1
Klefki,Steel,Fairy,,20,20,20,20
Sinistea,Ghost,Ghost,,91,91,91,91
Dachsbun,Fairy,Fairy,,30,30,30,30
Bombirdier,Flying,Dark,,55,55,55,55
Chansey,Normal,Normal,,2,2,2,2
Flareon,Fire,Fire,,1,1,1,1
Flaaffy,Electric,Electric,,20,20,20,20
Ampharos,Electric,Electric,,10,10,10,10
Donphan,Ground,Ground,,10,10,10,10
Clauncher (Violet),Water,Water,,60,60,60,60
Clawitzer (Violet),Water,Water,,20,20,20,20
Shelgon (Violet),Dragon,Dragon,,10,10,10,10
Meditite,Fighting,Psychic,,60,60,60,60
Medicham,Fighting,Psychic,,40,40,40,40
Altaria,Dragon,Flying,,20,20,20,20
Honchkrow,Dark,Flying,,0,0,40,40
Gallade,Psychic,Fighting,,1,1,1,0
Rufflet,Normal,Flying,,25,25,25,25
Gogoat,Grass,Grass,,70,70,70,70
Lycanroc (Midday),Rock,Rock,,20,20,0,0
Lycanroc (Midnight),Rock,Rock,,0,0,0,20
Mudsdale,Ground,Ground,,12,12,12,12
Greedent,Normal,Normal,,20,20,20,20
Toxtricity,Electric,Poison,,60,60,60,60
Lokix,Bug,Dark,,50,50,50,50
Houndstone,Ghost,Ghost,,15,15,15,15
Flittle,Psychic,Psychic,,60,60,60,60
Espathra,Psychic,Psychic,,20,20,20,20
Scovillain,Grass,Fire,,10,10,10,10
Pawmo,Electric,Fighting,,15,15,15,15
Psyduck,Water,Water,,60,60,60,60
Golduck,Water,Water,,20,20,20,20
Magikarp,Water,Water,,80,80,80,80
Vaporeon,Water,Water,,1,1,1,1
Dratini,Dragon,Dragon,,20,20,20,20
Floatzel,Water,Water,,50,50,50,50
Tynamo,Electric,Electric,,120,120,120,120
Eelektrik,Electric,Electric,,60,60,60,60
Drednaw,Water,Rock,,10,10,10,10
Barraskewda,Water,Water,,40,40,40,40
Bellibolt,Electric,Electric,,5,5,5,5
Flamigo,Flying,Fighting,,12,12,12,12
Shellder,Water,Water,,60,60,60,60
Cloyster,Water,Ice,,10,10,10,10
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Skrelp (Scarlet),Poison,Water,,60,60,60,60
Kilowattrel,Electric,Flying,,30,30,30,30
Finizen,Water,Water,,30,30,30,30
Hariyama,Fighting,Fighting,,25,25,25,25
Gumshoos,Normal,Normal,,30,30,30,30
Copperajah,Steel,Steel,,20,20,20,20
Naclstack,Rock,Rock,,60,60,60,60
Dugtrio,Ground,Ground,,20,20,20,20
Umbreon,Dark,Dark,,1,1,1,1
Dunsparce,Normal,Normal,,5,5,5,5
Pupitar (Scarlet),Rock,Ground,,10,10,10,10
Sableye,Dark,Ghost,,20,20,20,20
Gabite,Dragon,Ground,,10,10,10,10
Deino (Scarlet),Dark,Dragon,,30,30,30,30
Salandit,Poison,Fire,,60,60,60,60
Salazzle,Poison,Fire,,5,5,5,5
Glimmet,Rock,Poison,,1,1,1,1
Jumpluff,Grass,Flying,,20,20,20,20
Sunflora,Grass,Grass,,30,30,30,0
Vespiquen,Bug,Flying,,20,20,20,20
Lilligant,Grass,Grass,,5,5,5,5
Vivillon,Bug,Flying,,30,30,30,30
Floette,Fairy,Fairy,,223,223,223,223
Dolliv,Grass,Normal,,10,10,10,10
Hypno,Psychic,Psychic,,20,20,20,20
Bronzong,Steel,Psychic,,20,20,20,20
Tinkatuff,Fairy,Steel,,15,15,15,15
