Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Mankey,Fighting,Fighting,,20,20,20,20
Gastly,Ghost,Poison,,15,15,15,65
Bagon (Violet),Dragon,Dragon,,10,10,10,10
Misdreavus (Violet),Ghost,Ghost,,0,0,0,15
Phanpy,Ground,Ground,,20,20,20,20
Numel,Fire,Ground,,60,60,60,60
Swablu,Normal,Flying,,70,70,70,70
Drifloon (Scarlet),Ghost,Flying,,0,0,30,30
Skiddo,Grass,Grass,,80,80,80,80
Rockruff (Standard),Rock,Rock,,40,40,40,40
Rockruff (Own Tempo),Rock,Rock,,2,2,2,2
Mudbray,Ground,Ground,,60,60,60,60
Nymble,Bug,Bug,,30,30,30,30
Pawmo,Electric,Fighting,,15,15,15,15
Charcadet,Fire,Fire,,3,3,3,3
Capsakid,Grass,Grass,,30,30,30,30
Flittle,Psychic,Psychic,,60,60,60,60
Bombirdier,Flying,Dark,,50,50,50,50
Psyduck,Water,Water,,60,60,60,60
Magikarp,Water,Water,,80,80,80,80
Buizel,Water,Water,,60,60,60,60
Basculin (Red-Striped),Water,Water,,60,60,60,60
Basculin (Blue-Striped),Water,Water,,60,60,60,60
Chewtle,Water,Water,,10,10,10,10
Arrokuda,Water,Water,,100,100,100,100
Tadbulb,Electric,Electric,,50,50,50,50
Shellder,Water,Water,,60,60,60,60
Gyarados,Water,Flying,,5,5,5,5
Qwilfish,Water,Poison,,30,30,30,30
Wingull,Water,Flying,,140,140,140,140
Luvdisc,Water,Water,,60,60,60,60
Wattrel,Electric,Flying,,120,120,120,120
Finizen,Water,Water,,30,30,30,30
Makuhita,Fighting,Fighting,,50,50,50,50
Yungoos,Normal,Normal,,80,80,80,80
Gumshoos,Normal,Normal,,60,60,60,60
Nacli,Rock,Rock,,75,75,75,75
Diglett,Ground,Ground,,20,20,20,20
Dunsparce,Normal,Normal,,5,5,5,5
Larvitar (Scarlet),Rock,Ground,,10,10,10,10
Sableye,Dark,Ghost,,20,20,20,20
Gible,Dragon,Ground,,15,15,15,15
Salandit,Poison,Fire,,60,60,60,60
Crabrawler,Fighting,Fighting,,30,30,30,30
Wiglett,Water,Water,,60,60,60,60
Combee,Bug,Flying,,40,40,40,40
Happiny,Normal,Normal,,1,1,1,1
Petilil,Grass,Grass,,40,40,40,40
Flabebe,Fairy,Fairy,,246,246,246,246
Floette,Fairy,Fairy,,223,223,223,223
Bronzor,Steel,Psychic,,60,60,60,60
Falinks,Fighting,Fighting,,40,40,40,40
Tinkatink,Fairy,Steel,,15,15,15,15
