Name,Type1,Type2,Biome,Dawn,Day,Dusk,Night
Misdreavus,Ghost,Ghost,,60,60,60,60
Dreepy,Dragon,Ghost,,20,20,20,20
Meowth,Normal,Normal,,90,90,90,90
Persian,Normal,Normal,,60,60,60,60
Chansey,Normal,Normal,,1,1,1,1
Scyther,Bug,Flying,,38,38,38,38
Ditto,Normal,Normal,,40,40,40,40
Jumpluff,Grass,Flying,,30,30,30,30
Espeon,Psychic,Psychic,,1,1,1,0
Murkrow,Dark,Flying,,0,0,120,120
Dunsparce,Normal,Normal,,11,11,11,11
Shroomish,Grass,Grass,,90,90,90,90
Vigoroth,Normal,Normal,,20,20,20,20
Tropius,Grass,Flying,,70,70,70,70
Staravia,Normal,Flying,,30,30,30,0
Pachirisu,Electric,Electric,,50,50,50,50
Zorua,Dark,Dark,,45,45,45,45
Deerling,Normal,Grass,,70,70,70,70
Sawsbuck,Normal,Grass,,60,60,60,60
Fletchinder,Fire,Flying,,30,30,30,30
Oinkologne (Male),Normal,Normal,,40,40,40,40
Oinkologne (Female),Normal,Normal,,40,40,40,40
Pawmo,Electric,Fighting,,10,10,10,10
Maschiff,Dark,Dark,,30,30,30,30
Mabosstiff,Dark,Dark,,70,70,70,70
Toedscool,Ground,Grass,,12,12,12,12
Lilligant,Grass,Grass,,1,1,1,1
Pikachu,Electric,Electric,,10,10,10,10
Primeape,Fighting,Fighting,,30,30,30,30
Jolteon,Electric,Electric,,1,1,1,1
Sudowoodo,Rock,Rock,,60,60,60,60
Pineco,Bug,Bug,,60,60,60,60
Breloom,Grass,Fighting,,30,30,30,30
Honchkrow,Dark,Flying,,0,0,40,40
Leafeon,Grass,Grass,,1,1,1,1
Foongus,Grass,Normal,,60,60,60,60
Komala,Normal,Normal,,30,30,30,30
Greedent,Normal,Normal,,30,30,30,30
Applin,Grass,Dragon,,10,10,10,10
Spidops,Bug,Bug,,30,30,30,30
Charcadet,Fire,Fire,,2,2,2,2
Shroodle,Poison,Normal,,20,20,20,20
Jigglypuff,Normal,Fairy,,60,60,60,60
Voltorb,Electric,Electric,,30,30,30,30
Electrode,Electric,Electric,,10,10,10,10
Eevee,Normal,Normal,,10,10,10,10
Drifloon (Scarlet),Ghost,Flying,,0,0,40,40
Drifblim (Scarlet),Ghost,Flying,,0,0,20,20
Dedenne,Electric,Fairy,,20,20,20,20
Tandemaus,Normal,Normal,,10,10,10,10
Dachsbun,Fairy,Fairy,,30,30,30,30
Bombirdier,Flying,Dark,,5,5,5,5
Psyduck,Water,Water,,120,120,120,120
Magikarp,Water,Water,,80,80,80,80
Azumarill,Water,Water,,60,60,60,60
Barboach,Water,Ground,,60,60,60,60
Whiscash,Water,Ground,,10,10,10,10
Basculin (Red-Striped),Water,Water,,120,120,120,120
Basculin (Blue-Striped),Water,Water,,120,120,120,120
Goomy,Dragon,Dragon,,40,40,40,40
Drednaw,Water,Rock,,20,20,20,20
Hatenna,Psychic,Psychic,,40,40,40,40
Flamigo,Flying,Fighting,,22,22,22,22
Clodsire,Poison,Ground,,30,30,30,30
Golduck,Water,Water,,20,20,20,20
Vaporeon,Water,Water,,1,1,1,1
Floatzel,Water,Water,,10,10,10,10
Barraskewda,Water,Water,,20,20,20,20
Tadbulb,Electric,Electric,,50,50,50,50
Bellibolt,Electric,Electric,,5,5,5,5
Hariyama,Fighting,Fighting,,15,15,15,15
Skiddo,Grass,Grass,,50,50,50,50
Gogoat,Grass,Grass,,30,30,30,30
Gumshoos,Normal,Normal,,30,30,30,30
Lokix,Bug,Dark,,30,30,30,30
Nacli,Rock,Rock,,60,60,60,60
Naclstack,Rock,Rock,,60,60,60,60
Hypno,Psychic,Psychic,,20,20,20,20
Bronzong,Steel,Psychic,,20,20,20,20
Tinkatuff,Fairy,Steel,,15,15,15,15
Greavard,Ghost,Ghost,,40,40,40,40
